,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.0,0.9802,0.3619,0.0534,0.0047,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,0.9857,0.5793,0.1658,0.0316,0.0059,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,0.984,0.6704,0.2657,0.0734,0.0144,0.0043,0.0007,0.0001,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,0.982,0.7157,0.3359,0.1122,0.031,0.0085,0.0014,0.0005,0.0001,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,0.9799,0.7444,0.3863,0.1487,0.0501,0.0159,0.0041,0.0006,0.0004,0.0
6,1.0,1.0,1.0,1.0,1.0,0.9999,0.9759,0.7505,0.4202,0.1792,0.065,0.0218,0.0082,0.0014,0.0006
7,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9699,0.7529,0.4417,0.2079,0.0802,0.0309,0.0097,0.0035
